LayerID	X(mm)	Y(mm)	Z_Plane(mm)	KinE(MeV)
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	7.83173	-2.69374	80000	75702.8
1	3.07236	14.4944	60000	64657.5
2	30.813	-47.8326	40000	50150.3
3	166.472	-68.1517	20000	38494.2
4	314.13	-19.7119	0	27659
5	398.099	19.4279	-20000	16895.8
6	568.63	-359.179	-40000	5491.92
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	22.0548	-15.7975	80000	75470.4
1	49.3242	-24.0406	60000	64320.8
2	168.18	-74.4471	40000	51921.8
3	369.717	-212.475	20000	37757.6
4	715.391	-392.755	0	25668.6
5	1244.14	-675.256	-20000	15010.3
6	1907.5	-953.534	-40000	3880.27
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	10.7665	-7.43519	80000	71232.4
1	47.2302	34.7418	60000	60164
2	47.8364	59.4999	40000	33520
3	137.07	3.95939	20000	21217
4	215.931	-364.034	0	10770.2
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-30.2232	-9.27475	80000	70203.3
1	-34.9301	29.0405	60000	57717.8
2	-0.607537	151.299	40000	45829.4
3	109.078	160.317	20000	32724
4	235.756	-10.0079	0	9800.86
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	17.8826	18.7789	80000	69807.8
1	116.608	87.4096	60000	58167.5
2	233.601	204.397	40000	46279.4
3	353.101	457.579	20000	34473.3
4	326.315	546.956	0	20887.1
5	501.88	374.858	-20000	10620.8
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-52.2406	-22.3221	80000	75181.4
1	-75.5181	-144.12	60000	60725.7
2	-37.039	-308.84	40000	49721.3
3	7.231	-442.132	20000	38328.3
4	263.387	-600.557	0	26337.6
5	757.909	-998.938	-20000	8260.94
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	35.6854	15.7018	80000	75156.9
1	113.805	-37.3704	60000	29248.6
2	123.69	-103.455	40000	17942.3
3	-166.999	-400.581	20000	7229.86
4	0	0	0	0
5	0	0	-20000	0
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-21.0863	4.47279	80000	76008.1
1	-40.2305	100.703	60000	62283.6
2	-2.12881	174.91	40000	39000.5
3	79.0157	242.918	20000	28382.7
4	115.101	42.9098	0	15609.1
5	-40.3488	-176.347	-20000	4758.91
6	0	0	-40000	0
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
0	-18.1981	-35.4832	80000	72650.5
1	-43.175	-141.857	60000	60414.5
2	-37.0638	-275.39	40000	48952.2
3	-100.826	-402.825	20000	36366.7
4	-128.319	-589.823	0	23342.9
5	74.7931	-795.228	-20000	11264.3
6	660.224	-1276.7	-40000	278.481
7	0	0	-60000	0
8	0	0	-80000	0
9	0	0	-100000	0
